         45710 function calls (45094 primitive calls) in 22.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       10    0.000    0.000    0.001    0.000 <frozen os>:200(makedirs)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:1356(add_cookie_header)
4161/4121    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       14    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      3/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
       78    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:988(format)
       39    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1645(makeRecord)
      3/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:989(exec_module)
       78    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:690(format)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:1290(_cookies_for_request)
       39    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:298(__init__)
        9    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:1272(_cookies_for_domain)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\utils.py:765(should_bypass_proxies)
       20    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\cookies.py:124(extract_cookies_to_jar)
       30    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\util.py:56(log_debug)
        1    0.000    0.000    0.001    0.001 C:\Users\kayne\PycharmProjects\Hermod\hermod\utils\config.py:10(load_config)
    50/10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\openai_object.py:104(construct_from)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\_collections.py:242(__init__)
      7/2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      3/1    0.000    0.000    0.001    0.001 {built-in method builtins.exec}
        1    0.000    0.000    0.001    0.001 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\object_classes.py:1(<module>)
       30    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\util.py:76(logfmt)
        2    0.000    0.000    0.001    0.000 {built-in method builtins.__import__}
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\models.py:409(prepare_url)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\feedparser.py:469(_parse_headers)
       20    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\util\url.py:369(parse_url)
        1    0.000    0.000    0.001    0.001 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\yaml\__init__.py:117(safe_load)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\_collections.py:337(extend)
        1    0.000    0.000    0.001    0.001 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\yaml\__init__.py:74(load)
       78    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1137(flush)
    50/10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\openai_object.py:131(refresh_from)
       20    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:1680(extract_cookies)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\utils.py:114(proxy_bypass)
      110    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\util.py:77(fmt)
       18    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:1096(return_ok)
        1    0.000    0.000    0.001    0.001 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\yaml\constructor.py:47(get_single_data)
       10    0.001    0.000    0.001    0.000 {built-in method nt.mkdir}
      230    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:174(search)
       51    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\structures.py:40(__init__)
       71    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\utils.py:204(get_netrc_auth)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       20    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\urllib\request.py:2505(getproxies_environment)
        1    0.000    0.000    0.001    0.001 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\yaml\composer.py:29(get_single_node)
       70    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\sessions.py:61(merge_setting)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       78    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:622(formatTime)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       99    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\connection.py:351(putheader)
       24    0.001    0.000    0.001    0.000 {built-in method nt._path_exists}
       39    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1611(findCaller)
